Time [ns],phase_acc
                8472,190650
                8480,381300
                8488, 47662
                8496,238312
                8504,428962
                8512, 95325
                8520,285975
                8528,476625
                8536,142987
                8544,333637
                8552,524287
                8560,190650
                8568,381300
                8576, 47662
                8584,238312
                8592,428962
                8600, 95325
                8608,285975
                8616,476625
                8624,142987
                8632,333637
                8640,524287
                8648,190650
                8656,381300
                8664, 47662
                8672,238312
                8680,428962
                8688, 95325
                8696,285975
                8704,476625
                8712,142987
                8720,333637
                8728,524287
                8736,190650
                8744,381300
                8752, 47662
                8760,238312
                8768,428962
                8776, 95325
                8784,285975
                8792,476625
                8800,142987
                8808,333637
                8816,524287
                8824,190650
                8832,381300
                8840, 47662
                8848,238312
                8856,428962
                8864, 95325
                8872,285975
                8880,476625
                8888,142987
                8896,333637
                8904,524287
                8912,190650
                8920,381300
                8928, 47662
                8936,238312
                8944,428962
                8952, 95325
                8960,285975
                8968,476625
                8976,142987
                8984,333637
                8992,524287
                9000,190650
                9008,381300
                9016, 47662
                9024,238312
                9032,428962
                9040, 95325
                9048,285975
                9056,476625
                9064,142987
                9072,333637
                9080,524287
                9088,190650
                9096,381300
                9104, 47662
                9112,238312
                9120,428962
                9128, 95325
                9136,285975
                9144,476625
                9152,142987
                9160,333637
                9168,524287
                9176,190650
                9184,381300
                9192, 47662
                9200,238312
                9208,428962
                9216, 95325
                9224,285975
                9232,476625
                9240,142987
                9248,333637
                9256,524287
                9264,190650
                9272,381300
                9280, 47662
                9288,238312
                9296,428962
                9304, 95325
                9312,285975
                9320,476625
                9328,142987
                9336,333637
                9344,524287
                9352,190650
                9360,381300
                9368, 47662
                9376,238312
                9384,428962
                9392, 95325
                9400,285975
                9408,476625
                9416,142987
                9424,333637
                9432,524287
                9440,190650
                9448,381300
                9456, 47662
                9464,238312
                9472,428962
                9480, 95325
                9488,285975
                9496,476625
                9504,142987
                9512,333637
                9520,524287
                9528,190650
                9536,381300
                9544, 47662
                9552,238312
                9560,428962
                9568, 95325
                9576,285975
                9584,476625
                9592,142987
                9600,333637
                9608,524287
                9616,190650
                9624,381300
                9632, 47662
                9640,238312
                9648,428962
                9656, 95325
                9664,285975
                9672,476625
                9680,142987
                9688,333637
                9696,524287
                9704,190650
                9712,381300
