Time [ns],phase_acc
                9224, 91180
                9232,182361
                9240,273541
                9248,364722
                9256,455902
                9264, 22795
                9272,113975
                9280,205156
                9288,296336
                9296,387517
                9304,478697
                9312, 45590
                9320,136770
                9328,227951
                9336,319131
                9344,410312
                9352,501492
                9360, 68385
                9368,159565
                9376,250746
                9384,341926
                9392,433107
                9400,524287
                9408, 91180
                9416,182361
                9424,273541
                9432,364722
                9440,455902
                9448, 22795
                9456,113975
                9464,205156
                9472,296336
                9480,387517
                9488,478697
                9496, 45590
                9504,136770
                9512,227951
                9520,319131
                9528,410312
                9536,501492
                9544, 68385
                9552,159565
                9560,250746
                9568,341926
                9576,433107
                9584,524287
                9592, 91180
                9600,182361
                9608,273541
                9616,364722
                9624,455902
                9632, 22795
                9640,113975
                9648,205156
                9656,296336
                9664,387517
                9672,478697
                9680, 45590
                9688,136770
                9696,227951
                9704,319131
                9712,410312
                9720,501492
                9728, 68385
                9736,159565
                9744,250746
                9752,341926
                9760,433107
                9768,524287
                9776, 91180
                9784,182361
                9792,273541
                9800,364722
                9808,455902
                9816, 22795
                9824,113975
                9832,205156
                9840,296336
                9848,387517
                9856,478697
                9864, 45590
                9872,136770
                9880,227951
                9888,319131
                9896,410312
                9904,501492
                9912, 68385
                9920,159565
                9928,250746
                9936,341926
                9944,433107
                9952,524287
                9960, 91180
                9968,182361
                9976,273541
                9984,364722
                9992,455902
               10000, 22795
               10008,113975
               10016,205156
               10024,296336
               10032,387517
               10040,478697
               10048, 45590
               10056,136770
               10064,227951
               10072,319131
               10080,410312
               10088,501492
               10096, 68385
               10104,159565
               10112,250746
               10120,341926
               10128,433107
               10136,524287
               10144, 91180
               10152,182361
               10160,273541
               10168,364722
               10176,455902
               10184, 22795
               10192,113975
               10200,205156
               10208,296336
               10216,387517
               10224,478697
               10232, 45590
               10240,136770
               10248,227951
               10256,319131
               10264,410312
               10272,501492
               10280, 68385
               10288,159565
               10296,250746
               10304,341926
               10312,433107
               10320,524287
               10328, 91180
               10336,182361
               10344,273541
               10352,364722
               10360,455902
               10368, 22795
               10376,113975
               10384,205156
               10392,296336
               10400,387517
               10408,478697
               10416, 45590
               10424,136770
               10432,227951
               10440,319131
               10448,410312
               10456,501492
               10464, 68385
               10472,159565
               10480,250746
               10488,341926
               10496,433107
               10504,524287
               10512, 91180
               10520,182361
               10528,273541
               10536,364722
               10544,455902
               10552, 22795
               10560,113975
               10568,205156
               10576,296336
               10584,387517
               10592,478697
               10600, 45590
               10608,136770
               10616,227951
               10624,319131
               10632,410312
               10640,501492
               10648, 68385
               10656,159565
               10664,250746
               10672,341926
               10680,433107
               10688,524287
               10696, 91180
               10704,182361
               10712,273541
               10720,364722
               10728,455902
               10736, 22795
               10744,113975
               10752,205156
               10760,296336
               10768,387517
               10776,478697
               10784, 45590
               10792,136770
               10800,227951
               10808,319131
               10816,410312
               10824,501492
