  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    6170,        0,    16763,    10331,    32426,        0,    11522
    6190,        0,    16743,    10363,    32426,        0,    11562
    6210,        0,    16723,    10395,    32426,        0,    11602
    6230,        0,    16703,    10427,    32425,        0,    11642
    6250,        0,    16683,    10459,    32425,        0,    11682
    6270,        0,    16663,    10491,    32426,        0,    11722
    6290,        0,    16643,    10523,    32426,        0,    11762
    6310,        0,    16623,    10555,    32426,        0,    11802
    6330,        0,    16603,    10587,    32427,        0,    11842
    6350,        0,    16583,    10619,    32427,        0,    11881
    6370,        0,    16563,    10651,    32428,        0,    11922
    6390,        0,    16543,    10683,    32429,        0,    11962
    6410,        0,    16523,    10715,    32430,        0,    12001
    6430,        0,    16503,    10747,    32431,        0,    12041
    6450,        0,    16483,    10779,    32432,        0,    12081
    6470,        0,    16462,    10811,    32432,        0,    12122
    6490,        0,    16441,    10843,    32432,        0,    12162
    6510,        0,    16420,    10875,    32433,        0,    12203
    6530,        0,    16399,    10907,    32433,        0,    12244
    6550,        0,    16378,    10939,    32433,        0,    12284
    6570,        0,    16357,    10970,    32433,        0,    12324
    6590,        0,    16336,    11001,    32433,        0,    12363
    6610,        0,    16315,    11032,    32433,        0,    12403
    6630,        0,    16294,    11063,    32433,        0,    12443
    6650,        0,    16273,    11094,    32433,        0,    12482
    6670,        0,    16252,    11125,    32433,        0,    12522
    6690,        0,    16231,    11156,    32433,        0,    12562
    6710,        0,    16210,    11187,    32434,        0,    12601
    6730,        0,    16189,    11218,    32434,        0,    12641
    6750,        0,    16168,    11249,    32435,        0,    12681
    6770,        0,    16147,    11280,    32436,        0,    12720
    6790,        0,    16125,    11311,    32436,        0,    12761
    6810,        0,    16103,    11342,    32435,        0,    12801
    6830,        0,    16081,    11373,    32435,        0,    12841
    6850,        0,    16059,    11404,    32435,        0,    12881
    6870,        0,    16037,    11435,    32435,        0,    12922
    6890,        0,    16015,    11466,    32435,        0,    12962
    6910,        0,    15993,    11497,    32436,        0,    13002
