  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    5730,    14575,    13568,        0,    17162,    14307,       78
    5750,    14628,    13568,        0,    17050,    14441,   131040
    5770,    14681,    13568,        0,    17050,    14441,       21
    5790,    14734,    13568,        0,    17050,    14441,       74
    5810,    14787,    13568,        0,    16936,    14573,   131036
    5830,    14840,    13568,        0,    16936,    14573,       17
    5850,    14893,    13568,        0,    16936,    14573,       70
    5870,    14946,    13568,        0,    16822,    14705,   131033
    5890,    14999,    13568,        0,    16822,    14705,       14
    5910,    15052,    13568,        0,    16822,    14705,       67
    5930,    15105,    13568,        0,    16707,    14836,   131029
    5950,    15158,    13568,        0,    16707,    14836,       10
    5970,    15211,    13568,        0,    16707,    14836,       63
    5990,    15264,    13568,        0,    16590,    14966,   131025
    6010,    15317,    13568,        0,    16590,    14966,        6
    6030,    15370,    13568,        0,    16590,    14966,       59
    6050,    15423,    13568,        0,    16473,    15095,   131021
    6070,    15476,    13568,        0,    16473,    15095,        2
    6090,    15529,    13568,        0,    16473,    15095,       55
    6110,    15582,    13568,        0,    16354,    15224,   131017
    6130,    15635,    13568,        0,    16354,    15224,   131070
    6150,    15688,    13568,        0,    16354,    15224,       51
    6170,    15741,    13568,        0,    16235,    15351,   131013
    6190,    15794,    13568,        0,    16235,    15351,   131066
    6210,    15847,    13568,        0,    16235,    15351,       47
    6230,    15900,    13568,        0,    16115,    15477,   131009
    6250,    15953,    13568,        0,    16115,    15477,   131062
    6270,    16006,    13568,        0,    16115,    15477,       43
    6290,    16059,    13568,        0,    15993,    15602,   131005
    6310,    16112,    13568,        0,    15993,    15602,   131058
    6330,    16165,    13568,        0,    15993,    15602,       39
    6350,    16218,    13568,        0,    15871,    15727,   131001
    6370,    16271,    13568,        0,    15871,    15727,   131054
    6390,    16324,    13568,        0,    15871,    15727,       35
    6410,    16377,    13568,        0,    15748,    15850,   130997
    6430,    16430,    13568,        0,    15727,    15871,   131023
    6450,    16483,    13568,        0,    15727,    15871,        4
    6470,    16536,    13568,        0,    15727,    15871,       57
    6490,    16589,    13568,        0,    15602,    15993,   131019
    6510,    16642,    13568,        0,    15602,    15993,        0
    6530,    16695,    13568,        0,    15602,    15993,       53
    6550,    16748,    13568,        0,    15477,    16115,   131015
    6570,    16801,    13568,        0,    15477,    16115,   131068
    6590,    16854,    13568,        0,    15477,    16115,       49
    6610,    16907,    13568,        0,    15351,    16235,   131011
    6630,    16960,    13568,        0,    15351,    16235,   131064
    6650,    17013,    13568,        0,    15351,    16235,       45
    6670,    17066,    13568,        0,    15224,    16354,   131007
    6690,    17119,    13568,        0,    15224,    16354,   131060
    6710,    17172,    13568,        0,    15224,    16354,       41
    6730,    17225,    13568,        0,    15095,    16473,   131003
    6750,    17278,    13568,        0,    15095,    16473,   131056
    6770,    17331,    13568,        0,    15095,    16473,       37
    6790,    17384,    13568,        0,    14966,    16590,   130999
    6810,    17437,    13568,        0,    14966,    16590,   131052
    6830,    17490,    13568,        0,    14966,    16590,       33
    6850,    17543,    13568,        0,    14836,    16707,   130995
    6870,    17596,    13568,        0,    14836,    16707,   131048
    6890,    17649,    13568,        0,    14836,    16707,       29
    6910,    17702,    13568,        0,    14705,    16822,   130991
