  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
3030,6890,54272,0,89068,7372,0,54272,89372.5629485918,1.64675270763178,0.00000729236822
3050,6943,54272,0,89064,7428,0,54272,89373.2134366892,1.64676469333522,-0.00000469333522
3070,6996,54272,0,89059,7485,0,54272,89372.9864444509,1.64676051084262,-0.00000051084262
3090,7049,54272,0,89054,7541,0,54272,89372.7117021745,1.64675544852179,0.00000455147821
3110,7102,54272,0,89049,7598,0,54272,89372.5573372498,1.64675260423883,0.00000739576117
3130,7155,54272,0,89044,7654,0,54272,89372.3539580334,1.64674885683287,0.00001114316713
3150,7208,54272,0,89040,7711,0,54272,89373.2684923182,1.64676570777414,-0.00000570777414
3170,7261,54272,0,89035,7767,0,54272,89373.1364225291,1.64676327429483,-0.00000327429483
3190,7314,54272,0,89030,7824,0,54272,89373.1272587012,1.64676310544482,-0.00000310544482
3210,7367,54272,0,89025,7880,0,54272,89373.0665525135,1.64676198689036,-0.00000198689036
3230,7420,54272,0,89020,7938,0,54272,89373.2188298038,1.64676479270717,-0.00000479270717
3250,7473,54272,0,89015,7994,0,54272,89373.2301139441,1.64676500062544,-0.00000500062544
3270,7526,54272,0,89010,8050,0,54272,89373.276766604,1.64676586023371,-0.00000586023371
3290,7579,54272,0,89005,8106,0,54272,89373.3587877282,1.64676737153096,-0.00000737153096
3310,7632,54272,0,89000,8163,0,54272,89373.5675074012,1.64677121733861,-0.00001121733861
3330,7685,54272,0,88994,8220,0,54272,89372.8170978178,1.64675739051109,0.00000260948891
3350,7738,54272,0,88989,8276,0,54272,89373.0065344117,1.64676088101437,-0.00000088101437
3370,7791,54272,0,88984,8332,0,54272,89373.2313391432,1.6467650232006,-0.0000050232006
3390,7844,54272,0,88978,8389,0,54272,89372.5897856832,1.64675320212417,0.00000679787583
3410,7897,54272,0,88973,8446,0,54272,89372.9805086526,1.64676040147134,-0.00000040147134
3430,7950,54272,0,88968,8502,0,54272,89373.3127281293,1.64676652285026,-0.00000652285026
3450,8003,54272,0,88962,8559,0,54272,89372.7806717459,1.64675671933494,0.00000328066506
3470,8056,54272,0,88957,8616,0,54272,89373.2807107359,1.64676593290713,-0.00000593290713
3490,8109,54272,0,88951,8672,0,54272,89372.7250619561,1.64675569468522,0.00000430531478
