  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    7250,    18073,   434176,        0,   714721,    19358,  4194303
    7270,    18126,   434176,        0,   714720,    19411,        1
    7290,    18179,   434176,        0,   714718,    19472,  4194302
    7310,    18232,   434176,        0,   714717,    19527,        0
    7330,    18285,   434176,        0,   714716,    19580,        2
    7350,    18338,   434176,        0,   714714,    19641,  4194303
    7370,    18391,   434176,        0,   714711,    19696,        1
    7390,    18444,   434176,        0,   714710,    19755,  4194302
    7410,    18497,   434176,        0,   714708,    19811,        0
    7430,    18550,   434176,        0,   714707,    19865,        2
    7450,    18603,   434176,        0,   714706,    19924,  4194303
    7470,    18656,   434176,        0,   714705,    19978,        2
    7490,    18709,   434176,        0,   714702,    20039,  4194302
    7510,    18762,   434176,        0,   714701,    20093,        0
    7530,    18815,   434176,        0,   714700,    20152,  4194302
    7550,    18868,   434176,        0,   714698,    20208,  4194303
    7570,    18921,   434176,        0,   714697,    20261,        1
    7590,    18974,   434176,        0,   714696,    20321,  4194303
    7610,    19027,   434176,        0,   714693,    20379,        0
    7630,    19080,   434176,        0,   714692,    20432,        2
    7650,    19133,   434176,        0,   714691,    20492,        0
    7670,    19186,   434176,        0,   714690,    20545,        2
    7690,    19239,   434176,        0,   714687,    20606,  4194302
    7710,    19292,   434176,        0,   714686,    20661,        1
    7730,    19345,   434176,        0,   714685,    20719,  4194302
    7750,    19398,   434176,        0,   714682,    20775,  4194303
    7770,    19451,   434176,        0,   714681,    20829,        2
    7790,    19504,   434176,        0,   714680,    20888,  4194303
    7810,    19557,   434176,        0,   714677,    20944,        0
    7830,    19610,   434176,        0,   714676,    21003,  4194302
    7850,    19663,   434176,        0,   714675,    21057,        0
    7870,    19716,   434176,        0,   714673,    21112,        2
    7890,    19769,   434176,        0,   714671,    21173,  4194303
    7910,    19822,   434176,        0,   714670,    21227,        1
    7930,    19875,   434176,        0,   714668,    21286,  4194302
    7950,    19928,   434176,        0,   714666,    21342,        0
    7970,    19981,   434176,        0,   714665,    21395,        2
    7990,    20034,   434176,        0,   714663,    21455,  4194303
    8010,    20087,   434176,        0,   714661,    21511,        1
    8030,    20140,   434176,        0,   714660,    21569,  4194302
    8050,    20193,   434176,        0,   714658,    21624,        0
    8070,    20246,   434176,        0,   714657,    21677,        2
    8090,    20299,   434176,        0,   714655,    21738,  4194303
    8110,    20352,   434176,        0,   714649,    21796,        2
    8130,    20405,   434176,        0,   714648,    21854,  4194303
    8150,    20458,   434176,        0,   714646,    21910,        1
    8170,    20511,   434176,        0,   714644,    21970,  4194302
    8190,    20564,   434176,        0,   714643,    22023,        0
    8210,    20617,   434176,        0,   714641,    22079,        2
    8230,    20670,   434176,        0,   714639,    22138,  4194303
    8250,    20723,   434176,        0,   714638,    22192,        1
    8270,    20776,   434176,        0,   714636,    22253,  4194302
    8290,    20829,   434176,        0,   714634,    22307,        0
    8310,    20882,   434176,        0,   714633,    22361,        2
    8330,    20935,   434176,        0,   714632,    22420,        0
    8350,    20988,   434176,        0,   714629,    22477,        1
    8370,    21041,   434176,        0,   714628,    22536,  4194302
    8390,    21094,   434176,        0,   714627,    22590,        1
    8410,    21147,   434176,        0,   714624,    22646,        2
    8430,    21200,   434176,        0,   714623,    22704,  4194303
    8450,    21253,   434176,        0,   714622,    22759,        2
    8470,    21306,   434176,        0,   714618,    22820,  4194302
    8490,    21359,   434176,        0,   714617,    22873,        0
    8510,    21412,   434176,        0,   714616,    22933,  4194302
    8530,    21465,   434176,        0,   714615,    22986,        0
    8550,    21518,   434176,        0,   714612,    23042,        1
    8570,    21571,   434176,        0,   714611,    23102,  4194303
    8590,    21624,   434176,        0,   714610,    23155,        1
    8610,    21677,   434176,        0,   714605,    23213,        2
    8630,    21730,   434176,        0,   714604,    23272,        0
    8650,    21783,   434176,        0,   714603,    23326,        2
    8670,    21836,   434176,        0,   714600,    23387,  4194302
    8690,    21889,   434176,        0,   714599,    23441,        1
    8710,    21942,   434176,        0,   714598,    23500,  4194302
    8730,    21995,   434176,        0,   714595,    23554,        0
    8750,    22048,   434176,        0,   714593,    23610,        2
    8770,    22101,   434176,        0,   714592,    23669,  4194303
    8790,    22154,   434176,        0,   714590,    23723,        1
    8810,    22207,   434176,        0,   714588,    23784,  4194302
    8830,    22260,   434176,        0,   714587,    23837,        0
    8850,    22313,   434176,        0,   714583,    23893,        2
    8870,    22366,   434176,        0,   714581,    23954,  4194303
    8890,    22419,   434176,        0,   714580,    24007,        1
    8910,    22472,   434176,        0,   714578,    24067,  4194302
    8930,    22525,   434176,        0,   714577,    24120,        0
    8950,    22578,   434176,        0,   714575,    24176,        2
    8970,    22631,   434176,        0,   714572,    24236,  4194303
    8990,    22684,   434176,        0,   714571,    24289,        1
    9010,    22737,   434176,        0,   714569,    24350,  4194302
    9030,    22790,   434176,        0,   714567,    24404,        0
    9050,    22843,   434176,        0,   714566,    24458,        2
    9070,    22896,   434176,        0,   714564,    24519,  4194303
    9090,    22949,   434176,        0,   714560,    24576,        1
    9110,    23002,   434176,        0,   714559,    24635,  4194302
    9130,    23055,   434176,        0,   714557,    24689,        1
    9150,    23108,   434176,        0,   714554,    24745,        2
    9170,    23161,   434176,        0,   714553,    24804,  4194303
    9190,    23214,   434176,        0,   714551,    24858,        2
    9210,    23267,   434176,        0,   714548,    24919,  4194302
    9230,    23320,   434176,        0,   714547,    24972,        0
    9250,    23373,   434176,        0,   714545,    25032,  4194302
    9270,    23426,   434176,        0,   714542,    25088,  4194303
    9290,    23479,   434176,        0,   714541,    25141,        1
    9310,    23532,   434176,        0,   714539,    25201,  4194303
    9330,    23585,   434176,        0,   714538,    25254,        1
    9350,    23638,   434176,        0,   714535,    25311,        2
    9370,    23691,   434176,        0,   714533,    25371,        0
    9390,    23744,   434176,        0,   714532,    25424,        2
    9410,    23797,   434176,        0,   714529,    25485,  4194302
    9430,    23850,   434176,        0,   714527,    25539,        1
    9450,    23903,   434176,        0,   714526,    25598,  4194302
    9470,    23956,   434176,        0,   714523,    25654,  4194303
    9490,    24009,   434176,        0,   714521,    25708,        2
    9510,    24062,   434176,        0,   714520,    25767,  4194303
    9530,    24115,   434176,        0,   714518,    25821,        1
    9550,    24168,   434176,        0,   714515,    25882,  4194302
    9570,    24221,   434176,        0,   714514,    25936,        0
    9590,    24274,   434176,        0,   714511,    25992,        2
    9610,    24327,   434176,        0,   714508,    26053,  4194303
    9630,    24380,   434176,        0,   714507,    26106,        1
    9650,    24433,   434176,        0,   714505,    26166,  4194302
    9670,    24486,   434176,        0,   714502,    26222,        0
    9690,    24539,   434176,        0,   714501,    26275,        2
    9710,    24592,   434176,        0,   714499,    26335,  4194303
    9730,    24645,   434176,        0,   714498,    26388,        1
    9750,    24698,   434176,        0,   714495,    26449,  4194302
    9770,    24751,   434176,        0,   714493,    26504,        0
    9790,    24804,   434176,        0,   714492,    26557,        2
    9810,    24857,   434176,        0,   714489,    26618,  4194303
    9830,    24910,   434176,        0,   714486,    26673,        1
    9850,    24963,   434176,        0,   714485,    26732,  4194302
    9870,    25016,   434176,        0,   714482,    26788,        0
    9890,    25069,   434176,        0,   714480,    26842,        2
    9910,    25122,   434176,        0,   714479,    26901,  4194303
    9930,    25175,   434176,        0,   714477,    26955,        2
    9950,    25228,   434176,        0,   714473,    27016,  4194302
    9970,    25281,   434176,        0,   714472,    27070,        0
    9990,    25334,   434176,        0,   714470,    27129,  4194302
   10010,    25387,   434176,        0,   714467,    27185,  4194303
   10030,    25440,   434176,        0,   714466,    27238,        1
   10050,    25493,   434176,        0,   714464,    27298,  4194303
   10070,    25546,   434176,        0,   714458,    27357,        1
   10090,    25599,   434176,        0,   714457,    27415,  4194302
   10110,    25652,   434176,        0,   714455,    27470,        1
   10130,    25705,   434176,        0,   714454,    27523,        3
   10150,    25758,   434176,        0,   714451,    27584,  4194303
   10170,    25811,   434176,        0,   714449,    27639,        2
   10190,    25864,   434176,        0,   714448,    27697,  4194303
   10210,    25917,   434176,        0,   714444,    27753,        0
   10230,    25970,   434176,        0,   714442,    27813,  4194302
   10250,    26023,   434176,        0,   714441,    27866,        0
   10270,    26076,   434176,        0,   714438,    27922,        1
   10290,    26129,   434176,        0,   714436,    27981,  4194303
   10310,    26182,   434176,        0,   714435,    28035,        1
   10330,    26235,   434176,        0,   714431,    28090,        3
   10350,    26288,   434176,        0,   714428,    28151,        0
   10370,    26341,   434176,        0,   714427,    28205,        2
   10390,    26394,   434176,        0,   714425,    28264,  4194303
   10410,    26447,   434176,        0,   714422,    28320,        1
   10430,    26500,   434176,        0,   714421,    28379,  4194302
   10450,    26553,   434176,        0,   714418,    28433,        0
